,User,Date,Tweet,Tweets Ago,Compound,Negative,Neutral,Positive
75,@BBCNews,Fri Sep 21 16:31:36 +0000 2018,The 10-year fight to offer a cheaper drug https://t.co/EBiFl472D5,76,-0.3818,0.729,0.271,0.0
76,@BBCNews,Fri Sep 21 16:09:11 +0000 2018,"Kik chat app 'involved in 1,100 child abuse cases'

https://t.co/D0kOQ6p4dt https://t.co/DFq9y7ObYe",77,-0.6369,0.704,0.296,0.0
77,@BBCNews,Fri Sep 21 16:04:33 +0000 2018,Man spared jail after driving at Manchester Airport parking official https://t.co/71N8IfB6if,78,0.0,1.0,0.0,0.0
78,@BBCNews,Fri Sep 21 15:50:26 +0000 2018,Shiro's Story: The UK rap crime drama with Netflix potential https://t.co/P3CxuAeZXa,79,-0.5423,0.741,0.259,0.0
79,@BBCNews,Fri Sep 21 15:49:05 +0000 2018,"Baby names: Why are Leigh and Tracey unpopular? 🤔

https://t.co/IzD6kTDgX2",80,0.0,1.0,0.0,0.0
80,@BBCNews,Fri Sep 21 15:42:23 +0000 2018,Snapchat addict Fatima Khan jailed for killing boyfriend https://t.co/4J1UJuNZU8,81,-0.8225,0.479,0.521,0.0
81,@BBCNews,Fri Sep 21 15:39:33 +0000 2018,"'I gave birth, and got Hepatitis C' https://t.co/RchSLU3IzV",82,0.0,1.0,0.0,0.0
82,@BBCNews,Fri Sep 21 15:10:38 +0000 2018,"RT @bbc5live: Today, we said goodbye to our dear colleague and friend Rachael Bland.
 
#RaiseAGlassToRach is our way of giving a big burst…",83,0.802,0.699,0.0,0.301
83,@BBCNews,Fri Sep 21 15:10:12 +0000 2018,"Petition calls for M25 'give peas a chance' graffiti return 

https://t.co/klrgfVsCZN",84,0.25,0.818,0.0,0.182
84,@BBCNews,Fri Sep 21 14:49:21 +0000 2018,RT @bbclaurak: Brexit: Defiant words from PM may not be enough https://t.co/dI2ztd7CJw,85,-0.2263,0.853,0.147,0.0
85,@BBCNews,Fri Sep 21 14:47:05 +0000 2018,Harry Uzoka death: Men jailed for killing male model https://t.co/uaVGJf4QFd,86,-0.91,0.378,0.622,0.0
86,@BBCNews,Fri Sep 21 14:39:44 +0000 2018,European press views May 'ambush' with sympathy https://t.co/DASZNIQrLs,87,0.3612,0.737,0.0,0.263
87,@BBCNews,Fri Sep 21 14:36:18 +0000 2018,Former X Factor contestant Chico suffers stroke https://t.co/aYS74IBTUI,88,-0.4767,0.659,0.341,0.0
88,@BBCNews,Fri Sep 21 14:35:15 +0000 2018,RT @BBCSport: England have called up uncapped Surrey opener Rory Burns to replace the retired Alastair Cook in the Test squad to tour Sri L…,89,0.0,1.0,0.0,0.0
89,@BBCNews,Fri Sep 21 14:21:49 +0000 2018,Dad's damaged army photo restored by social media https://t.co/NI5lcVyOKc,90,-0.128,0.569,0.236,0.195
90,@BBCNews,Fri Sep 21 14:18:58 +0000 2018,#JoshuaPovetkin: Costello and Bunce assess the 'new Joshua' 🥊 https://t.co/lpJiXaVHsd,91,0.0,1.0,0.0,0.0
91,@BBCNews,Fri Sep 21 14:15:10 +0000 2018,"Theresa May says EU must treat UK with ""respect"" in #Brexit
negotiations

Full statement and analysis:… https://t.co/w2fIy3JxXr",92,0.4019,0.856,0.0,0.144
92,@BBCNews,Fri Sep 21 13:59:14 +0000 2018,Brexit: Defiant words from PM may not be enough https://t.co/LXeREcP8tT,93,-0.2263,0.826,0.174,0.0
93,@BBCNews,Fri Sep 21 13:51:26 +0000 2018,"RT @bbcweather: Here's our weekend set up. England and Wales likely to be wet at times after a bright start, and there's the potential for…",94,0.4404,0.888,0.0,0.112
94,@BBCNews,Fri Sep 21 13:41:57 +0000 2018,RT @BBCLondonNews: Grenfell Tower: 'Asbestos particles in smoke' could be risk for firefighters https://t.co/N6I3PoTgMz https://t.co/tMSbEi…,95,-0.2732,0.87,0.13,0.0
95,@BBCNews,Fri Sep 21 13:19:24 +0000 2018,"RT @bbclaurak: 1. Stern tone, strong words, demanding respect - not sure rhetoric will do much to change the situation with the EU, but tou…",96,0.3114,0.737,0.108,0.155
96,@BBCNews,Fri Sep 21 13:17:47 +0000 2018,"RT @BBCBreaking: ""No-one wants a good deal more than me, but the EU should be clear I will not overturn the result of the referendum, nor w…",97,0.6542,0.811,0.0,0.189
97,@BBCNews,Fri Sep 21 13:14:45 +0000 2018,"RT @BBCBreaking: UK PM Theresa May demands new proposals from EU to break Brexit ""impasse"" after Chequers plan rejected by EU leaders https…",98,-0.5106,0.87,0.13,0.0
98,@BBCNews,Fri Sep 21 12:57:15 +0000 2018,"RT @bbclaurak: Statement being delayed by technical, not political issues - can't quite believe it but apparently the power isn't working p…",99,-0.1154,0.932,0.068,0.0
99,@BBCNews,Fri Sep 21 12:52:22 +0000 2018,"RT @BBCSport: English golfer Oliver Fisher has carded the first round of 59 in European Tour history at the Portugal Masters.

https://t.co…",100,0.0,1.0,0.0,0.0
